,0:finance,1:realty,2:stocks,3:education,4:science,5:society,6:politics,7:sports,8:game,9:entertainment
0:finance,675,12,79,7,7,5,15,10,3,185
1:realty,16,716,40,13,11,9,9,5,15,159
2:stocks,94,25,533,11,25,5,50,18,7,226
3:education,3,4,5,853,5,21,24,2,10,73
4:science,16,7,37,22,633,18,29,5,40,192
5:society,4,5,1,33,7,667,45,5,9,223
6:politics,11,11,17,26,12,33,621,5,15,249
7:sports,2,14,5,14,8,13,23,685,11,225
8:game,3,2,5,25,60,9,11,16,655,214
9:entertainment,9,13,6,14,20,50,28,28,22,810
